ID,description,prise,region,promo_price,url
3176053,Конструктор LEGO Harry Potter Автобус Ночной рыцарь 75957,2359,"['RU-MOW', 'RU-SPE']",3699,https://www.detmir.ru/product/index/id/3176053/
3226597,Конструктор LEGO Friends Роскошный отдых на природе 41392,1559,"['RU-MOW', 'RU-SPE']",2599,https://www.detmir.ru/product/index/id/3226597/
3597034,Конструктор LEGO Harry Potter Визит в деревню Хогсмид 76388,4679,"['RU-MOW', 'RU-SPE']",7499,https://www.detmir.ru/product/index/id/3597034/
3498472,Конструктор LEGO Disney Princess Райя и дракон Сису 43184,1639,"['RU-MOW', 'RU-SPE']",2599,https://www.detmir.ru/product/index/id/3498472/
3092804,Конструктор LEGO DUPLO Town Рельсы (10882),1049,"['RU-MOW', 'RU-SPE']",1799,https://www.detmir.ru/product/index/id/3092804/
3405550,Конструктор LEGO Friends Дом семьи Андреа 41449,4129,"['RU-MOW', 'RU-SPE']",6499,https://www.detmir.ru/product/index/id/3405550/
3092801,Конструктор LEGO DUPLO Town Железнодорожный мост (10872),1349,"['RU-MOW', 'RU-SPE']",2199,https://www.detmir.ru/product/index/id/3092801/
3596976,Конструктор LEGO Ninjago Спидер-амфибия ниндзя 71752,2289,"['RU-MOW', 'RU-SPE']",3599,https://www.detmir.ru/product/index/id/3596976/
3156354,Конструктор LEGO Marvel Super Heroes Лаборатория Железного человека 76125,3329,"['RU-MOW', 'RU-SPE']",5499,https://www.detmir.ru/product/index/id/3156354/
3596757,Конструктор LEGO DUPLO Town Гараж и автомойка 10948,5399,"['RU-MOW', 'RU-SPE']",8999,https://www.detmir.ru/product/index/id/3596757/
3244536,Конструктор LEGO City Городской аэропорт 60261,2869,"['RU-MOW', 'RU-SPE']",4499,https://www.detmir.ru/product/index/id/3244536/
3244547,Конструктор LEGO Minions Миньоны и дом 75551,2819,"['RU-MOW', 'RU-SPE']",4699,https://www.detmir.ru/product/index/id/3244547/
3405553,Конструктор LEGO Friends Передвижной груминг-салон для кошек 41439,529,"['RU-MOW', 'RU-SPE']",799,https://www.detmir.ru/product/index/id/3405553/
3405538,Конструктор LEGO Creator Транспортировщик гоночных автомобилей 31113,1349,"['RU-MOW', 'RU-SPE']",2199,https://www.detmir.ru/product/index/id/3405538/
3122104,Конструктор LEGO Harry Potter Гремучая ива 75953,3949,"['RU-MOW', 'RU-SPE']",6499,https://www.detmir.ru/product/index/id/3122104/
3200892,Конструктор LEGO Star Wars Episode IX Сокол Тысячелетия 75257,8159,['RU-MOW'],13499,https://www.detmir.ru/product/index/id/3200892/
3546360,Конструктор LEGO Harry Potter Хогвартс-экспресс 75955,4669,"['RU-MOW', 'RU-SPE']",7499,https://www.detmir.ru/product/index/id/3546360/
3405594,Конструктор LEGO City Great Vehicles Транспортировка самолёта на авиашоу 60289,1599,"['RU-MOW', 'RU-SPE']",2499,https://www.detmir.ru/product/index/id/3405594/
3590734,Конструктор LEGO DUPLO Town Экспедиция на шаттле 10944,959,"['RU-MOW', 'RU-SPE']",1499,https://www.detmir.ru/product/index/id/3590734/
3405554,Конструктор LEGO Friends Машина скорой ветеринарной помощи 41445,1609,"['RU-MOW', 'RU-SPE']",2599,https://www.detmir.ru/product/index/id/3405554/
3405638,Конструктор LEGO Minecraft 21169,3629,"['RU-MOW', 'RU-SPE']",5499,https://www.detmir.ru/product/index/id/3405638/
3405626,Конструктор LEGO Ninjago Ниндзя-перехватчик Х-1 71737,2679,"['RU-MOW', 'RU-SPE']",4499,https://www.detmir.ru/product/index/id/3405626/
3597020,Конструктор LEGO Ninjago Подводный Дар Судьбы 71756,8369,"['RU-MOW', 'RU-SPE']",13499,https://www.detmir.ru/product/index/id/3597020/
3188097,Конструктор LEGO Technic Экстремальный внедорожник 42099,11159,"['RU-MOW', 'RU-SPE']",19999,https://www.detmir.ru/product/index/id/3188097/
3597037,Конструктор LEGO Speed Champions Toyota GR Supra 76901,1129,"['RU-MOW', 'RU-SPE']",1799,https://www.detmir.ru/product/index/id/3597037/
